variant_type,n_pairs,n_nonzero,median_diff_variant_minus_original,mean_diff_variant_minus_original,rank_biserial_correlation,wilcoxon_statistic,p_value_raw,note,p_value_holm,p_value_bh_fdr
no_experiments,100,72,-0.25,-0.4125,-0.487062404870624,674.0,0.00031219043934586286,,0.0015609521967293143,0.0015609521967293143
no_methods,100,85,-0.375,-0.335,-0.3430916552667579,1200.5,0.005765368076617833,,0.02306147230647133,0.012555438745399985
no_introduction,100,86,-0.375,-0.3,-0.33039294306335204,1252.5,0.007533263247239991,,0.02306147230647133,0.012555438745399985
no_conclusion,100,76,0.0,0.105,0.18215994531784005,1196.5,0.16576435307784088,,0.33152870615568175,0.2072054413473011
no_abstract,100,79,0.0,0.065,0.07816455696202532,1456.5,0.544612548435347,,0.544612548435347,0.544612548435347
